symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,mape_pct,log_loss,price_track_path
BTCUSDT,8h,365 days ago UTC,16,gru_lstm,1015,time,0.2,,direction,0.0,0.4236453201970443,0.4189189189189189,0.29523809523809524,0.3463687150837989,0.4577259475218659,"[[55, 43], [74, 31]]",0.73,8,0.5,4.5066863155487296e-05,0.0011435716525704902,0.008687284884187685,0.6677375913276007,0.2294286698061711,0.0023,,,,0.7201277399839388,predictions/PRICE_365_days_ago_UTC_BTCUSDT_8h_gru_lstm_20251016_212838.csv
BTCUSDT,8h,365 days ago UTC,16,hybrid_transformer,1015,time,0.2,,direction,0.0,0.47783251231527096,0.49514563106796117,0.4857142857142857,0.49038461538461536,0.48367346938775513,"[[46, 52], [54, 51]]",0.69,2,1.0,6.713671446530154e-05,0.006814376518228107,0.013661892751443139,2.899978750309466,,0.0023,,,,0.7131622605320349,predictions/PRICE_365_days_ago_UTC_BTCUSDT_8h_hybrid_transformer_20251016_212847.csv
BTCUSDT,8h,365 days ago UTC,16,voting_soft,1030,time,0.2,,direction,0.0,0.49029126213592233,0.5142857142857142,0.3364485981308411,0.4067796610169492,0.5253469272160861,"[[65, 34], [71, 36]]",0.69,8,0.5,3.3709505368869486e-05,0.0008680197632483892,0.006834756776955109,0.9793764418006412,0.372529091242066,0.0023,,,,0.7260138735551341,predictions/PRICE_365_days_ago_UTC_BTCUSDT_8h_voting_soft_20251016_212853.csv
BTCUSDT,8h,365 days ago UTC,16,stacking,1030,time,0.2,,direction,0.0,0.5145631067961165,0.5238095238095238,0.719626168224299,0.6062992125984252,0.5196828094024355,"[[29, 70], [30, 77]]",0.585,1,1.0,8.095694500666434e-05,0.016677130671372855,0.016677130671372886,2.3055441831772656,,0.0023,,,,0.691582752873737,predictions/PRICE_365_days_ago_UTC_BTCUSDT_8h_stacking_20251016_212908.csv
BTCUSDT,1d,365 days ago UTC,16,logreg,318,time,0.2,,direction,0.0,0.5238095238095238,0.5238095238095238,1.0,0.6875,0.5474747474747474,"[[0, 30], [0, 33]]",0.515,0,,0.0,,0.0,,,0.0023,,,,0.6921637574220384,predictions/PRICE_365_days_ago_UTC_BTCUSDT_1d_logreg_20251016_212931.csv
BTCUSDT,1d,365 days ago UTC,16,sgdlog,318,time,0.2,,direction,0.0,0.5238095238095238,0.5238095238095238,1.0,0.6875,0.5626262626262626,"[[0, 30], [0, 33]]",0.625,0,,0.0,,0.0,,,0.0023,,,,0.7112648019561462,predictions/PRICE_365_days_ago_UTC_BTCUSDT_1d_sgdlog_20251016_212937.csv
BTCUSDT,1d,365 days ago UTC,16,rf,318,time,0.2,,direction,0.0,0.5238095238095238,0.5306122448979592,0.7878787878787878,0.6341463414634146,0.5883838383838383,"[[7, 23], [7, 26]]",0.665,13,0.6923076923076923,0.0013317851127243041,0.00645403554627932,0.08596498717374468,3.789169291691876,1.1414245554276905,0.0023,,,,0.6865769906596447,predictions/PRICE_365_days_ago_UTC_BTCUSDT_1d_rf_20251016_212942.csv
BTCUSDT,1d,365 days ago UTC,16,hgb,318,time,0.2,,direction,0.0,0.5873015873015873,0.6129032258064516,0.5757575757575758,0.59375,0.6333333333333333,"[[18, 12], [14, 19]]",0.555,24,0.625,0.0011568224541155412,0.003036658942053296,0.07337838031992416,2.7229297347733046,0.4896020030631229,0.0023,,,,0.7226795532379279,predictions/PRICE_365_days_ago_UTC_BTCUSDT_1d_hgb_20251016_212948.csv
BTCUSDT,1d,365 days ago UTC,16,linsvc,318,time,0.2,,direction,0.0,0.5238095238095238,0.5238095238095238,1.0,0.6875,0.5626262626262626,"[[0, 30], [0, 33]]",0.625,0,,0.0,,0.0,,,0.0023,,,,0.7112648330425014,predictions/PRICE_365_days_ago_UTC_BTCUSDT_1d_linsvc_20251016_212953.csv
BTCUSDT,1d,365 days ago UTC,16,bilstm,303,time,0.2,,direction,0.0,0.5,0.5116279069767442,0.7096774193548387,0.5945945945945946,0.5728587319243604,"[[8, 21], [9, 22]]",0.685,9,0.8888888888888888,0.0008578106202959614,0.005718737468639744,0.050911576102411926,2.1053578012637213,57187374686.39743,0.0023,,,,0.6921664783591622,predictions/PRICE_365_days_ago_UTC_BTCUSDT_1d_bilstm_20251016_213001.csv
